"date","city","SO2","CO","NO2","O3","PM10","SO2_d1_rate","SO2_d2_rate","SO2_d3_rate","SO2_d4_rate","CO_d1_rate","CO_d2_rate","CO_d3_rate","CO_d4_rate","O3_d1_rate","O3_d2_rate","O3_d3_rate","O3_d4_rate","NO2_d1_rate","NO2_d2_rate","NO2_d3_rate","NO2_d4_rate","PM10_d1_rate","PM10_d2_rate","PM10_d3_rate","PM10_d4_rate","temp","temp_range","rain","ws_mean","ws_max","ws_mont_max","dew_point_temp","humidity","air_press","sunshn_time","snow","cloud_amt","surface_temp"
"2010-02-01","서울",0.007,0.9,0.043,0.006,113,-0.285714285714286,-0.428571428571429,0.142857142857143,0.142857142857143,-0.333333333333333,0.111111111111111,0.333333333333333,0.333333333333333,0.666666666666667,0.333333333333333,-0.666666666666667,-0.5,-0.372093023255814,-0.209302325581395,0.069767441860465,0.162790697674419,0.101769911504425,0.309734513274336,0.592920353982301,0.548672566371681,0.8,7.7,0,2.6,6,9.3,-4.1,71.6,1007.2,4.3,0,4,0.9
"2010-02-02","서울",0.004,0.4,0.021,0.023,26,-0.75,-1.25,-1.5,-0.5,-1.25,-2,-1,-0.5,0.739130434782609,0.91304347826087,0.826086956521739,0.565217391304348,-1.04761904761905,-1.80952380952381,-1.47619047619048,-0.904761904761905,-3.34615384615385,-2.90384615384615,-2,-0.769230769230769,-6.2,6.5,0,3.7,6,10.2,-21.6,29.6,1013.5,9.7,0,0.8,-2
"2010-02-03","서울",0.006,0.5,0.023,0.02,40,0.333333333333333,-0.166666666666667,-0.5,-0.666666666666667,0.2,-0.8,-1.4,-0.6,-0.15,0.7,0.9,0.8,0.0869565217391304,-0.869565217391304,-1.56521739130435,-1.26086956521739,0.35,-1.825,-1.5375,-0.95,-8,5.8,0,3.3,6.1,12.2,-20.4,37.1,1016.5,9.6,0,1,-4.3
"2010-02-04","서울",0.007,0.6,0.037,0.013,46,0.142857142857143,0.428571428571429,0,-0.285714285714286,0.166666666666667,0.333333333333333,-0.5,-1,-0.538461538461539,-0.769230769230769,0.538461538461538,0.846153846153846,0.378378378378378,0.432432432432432,-0.162162162162162,-0.594594594594595,0.130434782608696,0.434782608695652,-1.45652173913043,-1.20652173913043,-4.3,7.7,0,2.8,6.2,11.3,-13.4,50.3,1014.5,8.7,0.1,2,-2.2
"2010-02-05","서울",0.006,0.5,0.028,0.019,37,-0.166666666666667,0,0.333333333333333,-0.166666666666667,-0.2,0,0.2,-0.8,0.315789473684211,-0.0526315789473685,-0.210526315789474,0.684210526315789,-0.321428571428571,0.178571428571429,0.25,-0.535714285714286,-0.243243243243243,-0.0810810810810811,0.297297297297297,-2.05405405405405,-5.5,6,0,3,5.3,8,-19.1,34.5,1015.8,9.6,0,0,-3.1
"2010-02-06","서울",0.006,0.6,0.042,0.009,48,0,-0.166666666666667,0,0.333333333333333,0.166666666666667,0,0.166666666666667,0.333333333333333,-1.11111111111111,-0.444444444444444,-1.22222222222222,-1.55555555555556,0.333333333333333,0.119047619047619,0.452380952380952,0.5,0.229166666666667,0.0416666666666667,0.166666666666667,0.458333333333333,-4.7,10.5,0,2.3,4.4,7.2,-17.8,36.6,1019.2,9.6,0,0,-2.9
"2010-02-07","서울",0.007,0.9,0.057,0.003,56,0.142857142857143,0.142857142857143,0,0.142857142857143,0.333333333333333,0.444444444444444,0.333333333333333,0.444444444444444,-2,-5.33333333333333,-3.33333333333333,-5.66666666666667,0.263157894736842,0.508771929824561,0.350877192982456,0.596491228070175,0.142857142857143,0.339285714285714,0.178571428571429,0.285714285714286,0.7,11.9,0,1.6,3.7,6.3,-15.6,31.3,1016,5.6,0,5.9,-1.4
"2010-02-08","서울",0.009,1.2,0.063,0.002,59,0.222222222222222,0.333333333333333,0.333333333333333,0.222222222222222,0.25,0.5,0.583333333333333,0.5,-0.5,-3.5,-8.5,-5.5,0.0952380952380952,0.333333333333333,0.555555555555556,0.412698412698413,0.0508474576271186,0.186440677966102,0.372881355932203,0.220338983050847,4,2.7,0,1.6,2.8,4.7,-6.9,47.9,1007.9,0,0,10,0.9
"2010-02-09","서울",0.007,1.1,0.05,0.002,61,-0.285714285714286,0,0.142857142857143,0.142857142857143,-0.0909090909090908,0.181818181818182,0.454545454545455,0.545454545454546,0,-0.5,-3.5,-8.5,-0.26,-0.14,0.16,0.44,0.0327868852459016,0.0819672131147541,0.213114754098361,0.39344262295082,3.7,1.5,12,1.3,3,5.5,1.7,87.4,1006.2,0,0,9.9,1.2
"2010-02-10","서울",0.005,0.7,0.045,0.003,35,-0.4,-0.8,-0.4,-0.2,-0.571428571428572,-0.714285714285714,-0.285714285714286,0.142857142857143,0.333333333333333,0.333333333333333,0,-2,-0.111111111111111,-0.4,-0.266666666666667,0.0666666666666666,-0.742857142857143,-0.685714285714286,-0.6,-0.371428571428571,3.9,1.9,2,1.9,3.6,6.8,0.8,80.3,1007,0,0,9.4,1.2
